nreg,humidity,temperature,velocoty,datetime
1,31.5,21.1,0.0,2021-03-19T03:09:11.000
2,31.5,21.1,0.0,2021-03-19T03:14:11.000
3,31.5,21.1,0.0,2021-03-19T03:19:11.000
4,31.5,21.1,0.0,2021-03-19T03:24:11.000
5,32.0,21.1,0.0,2021-03-19T03:29:12.000
6,32.0,21.1,0.0,2021-03-19T03:34:11.000
7,32.0,21.1,0.0,2021-03-19T03:39:12.000
8,32.0,21.1,0.0,2021-03-19T03:44:13.000
9,32.0,21.1,0.0,2021-03-19T03:49:14.000
10,32.0,21.1,0.0,2021-03-19T03:54:15.000
11,32.0,21.0,0.0,2021-03-19T03:59:16.000
12,32.0,21.0,0.0,2021-03-19T04:04:17.000
13,32.0,21.0,0.0,2021-03-19T04:09:18.000
14,32.0,21.0,0.0,2021-03-19T04:14:19.000
15,32.5,21.0,0.0,2021-03-19T04:19:20.000
16,32.5,21.0,0.0,2021-03-19T04:24:20.000
17,33.0,21.0,0.0,2021-03-19T04:29:21.000
18,33.5,21.0,0.0,2021-03-19T04:34:21.000
19,33.5,21.0,0.0,2021-03-19T04:39:22.000
20,33.5,21.0,0.0,2021-03-19T04:44:23.000
21,33.5,20.9,0.0,2021-03-19T04:49:24.000
22,34.0,21.0,0.0,2021-03-19T04:54:25.000
23,34.0,21.0,0.0,2021-03-19T04:59:25.000
24,34.0,20.9,0.0,2021-03-19T05:04:25.000
25,34.0,20.9,0.0,2021-03-19T05:09:26.000
26,34.0,20.9,0.0,2021-03-19T05:14:26.000
27,34.5,20.9,0.0,2021-03-19T05:19:27.000
28,35.0,20.9,0.0,2021-03-19T05:29:28.000
29,34.5,20.9,0.0,2021-03-19T05:34:29.000
30,35.0,20.8,0.0,2021-03-19T05:44:30.000
31,35.0,20.9,0.0,2021-03-19T05:49:30.000
32,35.5,20.9,0.0,2021-03-19T05:54:31.000
33,35.5,20.8,0.0,2021-03-19T05:59:31.000
34,35.5,20.8,0.0,2021-03-19T06:04:31.000
35,35.5,20.8,0.0,2021-03-19T06:09:32.000
36,35.5,20.8,0.0,2021-03-19T06:14:32.000
37,35.5,20.8,0.0,2021-03-19T06:19:33.000
38,36.0,20.8,0.0,2021-03-19T06:24:33.000
39,36.5,20.9,0.0,2021-03-19T06:29:33.000
40,36.5,21.1,0.0,2021-03-19T06:34:33.000
41,36.5,21.3,0.0,2021-03-19T06:39:34.000
42,36.0,21.5,0.0,2021-03-19T06:44:35.000
43,35.5,21.7,0.0,2021-03-19T06:49:35.000
44,35.5,21.8,0.0,2021-03-19T06:54:35.000
45,35.5,21.9,0.0,2021-03-19T06:59:36.000
46,35.0,22.1,0.0,2021-03-19T07:04:36.000
47,35.0,22.2,0.0,2021-03-19T07:09:36.000
48,35.0,22.3,0.0,2021-03-19T07:14:36.000
49,34.5,22.3,0.0,2021-03-19T07:19:36.000
50,35.0,22.1,0.0,2021-03-19T07:24:37.000
51,32.0,21.9,0.0,2021-03-19T07:29:37.000
52,30.5,21.7,0.0,2021-03-19T07:34:37.000
53,30.5,21.4,0.0,2021-03-19T07:39:38.000
54,30.5,21.3,0.0,2021-03-19T07:44:38.000
55,30.0,21.1,0.0,2021-03-19T07:49:39.000
56,30.0,20.9,0.0,2021-03-19T07:54:40.000
57,30.0,20.8,0.0,2021-03-19T07:59:41.000
58,30.5,20.7,0.0,2021-03-19T08:04:42.000
59,30.5,20.6,0.0,2021-03-19T08:09:42.000
60,30.5,20.5,0.0,2021-03-19T08:14:43.000
61,31.0,20.4,0.0,2021-03-19T08:19:44.000
62,31.0,20.3,0.0,2021-03-19T08:24:45.000
63,31.0,20.3,0.0,2021-03-19T08:29:46.000
64,30.5,20.2,0.0,2021-03-19T08:34:46.000
65,30.5,20.1,0.0,2021-03-19T08:39:47.000
66,31.0,20.1,0.0,2021-03-19T08:44:48.000
67,30.0,20.0,0.0,2021-03-19T08:49:48.000
68,29.5,20.0,0.0,2021-03-19T08:54:48.000
69,29.5,20.0,0.0,2021-03-19T08:59:48.000
70,29.5,19.9,0.0,2021-03-19T09:04:49.000
71,29.5,20.0,0.0,2021-03-19T09:09:49.000
72,30.0,20.0,0.0,2021-03-19T09:14:50.000
73,30.0,20.0,0.0,2021-03-19T09:19:50.000
74,30.0,20.0,0.0,2021-03-19T09:24:50.000
75,30.0,20.0,0.0,2021-03-19T09:29:50.000
76,29.5,20.0,0.0,2021-03-19T09:34:51.000
77,29.5,20.0,0.0,2021-03-19T09:39:51.000
78,29.0,20.1,0.0,2021-03-19T09:44:52.000
79,29.0,20.3,0.0,2021-03-19T09:49:52.000
80,29.5,20.3,0.0,2021-03-19T09:54:52.000
81,30.5,20.4,0.0,2021-03-19T09:59:52.000
82,31.5,20.4,0.0,2021-03-19T10:04:53.000
83,30.5,20.4,0.0,2021-03-19T10:09:54.000
84,30.0,20.5,0.0,2021-03-19T10:14:54.000
85,30.0,20.5,0.0,2021-03-19T10:19:54.000
86,30.5,20.6,0.0,2021-03-19T10:24:55.000
87,31.0,20.6,0.0,2021-03-19T10:29:55.000
88,31.0,20.6,0.0,2021-03-19T10:34:56.000
89,31.0,20.6,0.0,2021-03-19T10:39:56.000
90,31.0,20.7,0.0,2021-03-19T10:44:57.000
91,31.5,20.8,0.0,2021-03-19T10:49:58.000
92,31.5,20.8,0.0,2021-03-19T10:54:58.000
93,31.5,20.9,0.0,2021-03-19T11:00:00.000
94,31.5,20.9,0.0,2021-03-19T11:05:00.000
95,31.0,21.0,0.0,2021-03-19T11:10:01.000
96,31.0,21.1,0.0,2021-03-19T11:15:02.000
97,31.0,21.1,0.0,2021-03-19T11:20:02.000
98,31.0,21.2,0.0,2021-03-19T11:25:03.000
99,31.0,21.2,0.0,2021-03-19T11:30:03.000
100,31.0,21.3,0.0,2021-03-19T11:35:04.000
101,31.0,21.3,0.0,2021-03-19T11:40:04.000
102,31.0,21.4,0.0,2021-03-19T11:45:04.000
103,31.0,21.4,0.0,2021-03-19T11:50:04.000
104,31.0,21.5,0.0,2021-03-19T11:55:04.000
105,31.0,21.6,0.0,2021-03-19T12:00:04.000
106,31.0,21.6,0.0,2021-03-19T12:05:04.000
107,30.5,21.7,0.0,2021-03-19T12:10:04.000
108,30.0,21.7,0.0,2021-03-19T12:15:04.000
109,30.0,21.8,0.0,2021-03-19T12:20:05.000
110,30.0,21.8,0.0,2021-03-19T12:25:06.000
111,30.0,21.9,0.0,2021-03-19T12:30:06.000
112,29.5,21.9,0.0,2021-03-19T12:35:07.000
113,30.0,22.0,0.0,2021-03-19T12:40:07.000
114,30.0,22.0,0.0,2021-03-19T12:45:08.000
115,30.0,22.1,0.0,2021-03-19T12:50:09.000
116,29.5,22.1,0.0,2021-03-19T12:55:09.000
117,29.5,22.1,0.0,2021-03-19T13:00:10.000
118,29.5,22.1,0.0,2021-03-19T13:05:11.000
119,29.0,22.2,0.0,2021-03-19T13:10:11.000
120,29.0,22.2,0.0,2021-03-19T13:15:12.000
121,29.0,22.2,0.0,2021-03-19T13:20:12.000
122,29.5,22.2,0.0,2021-03-19T13:25:13.000
123,29.5,22.3,0.0,2021-03-19T13:30:13.000
124,30.0,22.3,0.0,2021-03-19T13:35:13.000
125,30.5,22.4,0.0,2021-03-19T13:40:14.000
126,30.5,22.4,0.0,2021-03-19T13:45:15.000
127,31.0,22.5,0.0,2021-03-19T13:50:16.000
128,31.5,22.5,0.0,2021-03-19T13:55:16.000
129,31.0,22.5,0.0,2021-03-19T14:00:17.000
130,31.0,22.5,0.0,2021-03-19T14:05:17.000
131,30.5,22.5,0.0,2021-03-19T14:10:18.000
132,31.0,22.6,0.0,2021-03-19T14:15:19.000
133,31.5,22.6,0.0,2021-03-19T14:20:19.000
134,30.5,22.6,0.0,2021-03-19T14:25:19.000
135,30.5,22.6,0.0,2021-03-19T14:30:19.000
136,31.0,22.6,0.0,2021-03-19T14:35:20.000
137,30.5,22.7,0.0,2021-03-19T14:40:21.000
138,30.5,22.7,0.0,2021-03-19T14:45:21.000
139,30.5,22.7,0.0,2021-03-19T14:50:21.000
140,30.5,22.7,0.0,2021-03-19T14:55:23.000
141,30.5,22.7,0.0,2021-03-19T15:00:23.000
142,30.0,22.7,0.0,2021-03-19T15:05:23.000
143,30.5,22.7,0.0,2021-03-19T15:10:24.000
144,30.5,22.7,0.0,2021-03-19T15:15:24.000
145,30.0,22.7,0.0,2021-03-19T15:20:24.000
146,30.5,22.7,0.0,2021-03-19T15:25:25.000
147,30.5,22.6,0.0,2021-03-19T15:30:26.000
148,30.5,22.6,0.0,2021-03-19T15:35:27.000
149,30.5,22.6,0.0,2021-03-19T15:40:28.000
150,30.5,22.5,0.0,2021-03-19T15:45:28.000
151,30.5,22.5,0.0,2021-03-19T15:50:29.000
152,30.5,22.4,0.0,2021-03-19T15:55:30.000
153,30.5,22.3,0.0,2021-03-19T16:00:31.000
154,30.5,22.3,0.0,2021-03-19T16:05:31.000
155,31.0,22.2,0.0,2021-03-19T16:10:31.000
156,31.0,22.2,0.0,2021-03-19T16:15:31.000
157,31.0,22.2,0.0,2021-03-19T16:20:31.000
158,31.0,22.1,0.0,2021-03-19T16:25:32.000
159,31.0,22.1,0.0,2021-03-19T16:30:33.000
160,31.0,22.0,0.0,2021-03-19T16:35:34.000
161,31.0,22.0,0.0,2021-03-19T16:40:34.000
162,31.5,22.0,0.0,2021-03-19T16:45:34.000
163,31.5,22.0,0.0,2021-03-19T16:50:35.000
164,32.0,22.0,0.0,2021-03-19T16:55:35.000
165,32.0,21.9,0.0,2021-03-19T17:00:36.000
166,32.0,21.9,0.0,2021-03-19T17:05:36.000
167,32.5,22.0,0.0,2021-03-19T17:10:37.000
168,32.5,22.0,0.0,2021-03-19T17:15:37.000
169,32.5,22.0,0.0,2021-03-19T17:20:38.000
170,37.0,15.9,5.42,2021-03-19T17:54:42.000
171,37.0,15.8,4.0,2021-03-19T17:59:42.000
172,37.0,15.7,2.5,2021-03-19T18:04:43.000
173,37.5,15.5,1.02,2021-03-19T18:09:44.000
174,39.0,15.4,1.73,2021-03-19T18:14:44.000
175,40.0,15.3,1.16,2021-03-19T18:19:45.000
176,40.0,15.2,1.69,2021-03-19T18:24:46.000
177,40.5,15.1,1.31,2021-03-19T18:29:46.000
178,40.5,15.0,1.73,2021-03-19T18:34:46.000
179,41.0,15.0,1.75,2021-03-19T18:39:46.000
180,41.0,14.8,1.59,2021-03-19T18:44:47.000
181,42.0,14.7,0.44,2021-03-19T18:49:47.000
182,43.0,14.6,1.4,2021-03-19T18:54:47.000
183,42.5,14.5,1.41,2021-03-19T18:59:48.000
184,43.0,14.4,1.44,2021-03-19T19:04:49.000
185,43.0,14.4,1.51,2021-03-19T19:09:50.000
186,43.5,14.3,2.88,2021-03-19T19:14:50.000
187,43.5,14.2,3.29,2021-03-19T19:19:50.000
188,43.5,14.1,3.16,2021-03-19T19:24:50.000
189,44.0,14.1,1.35,2021-03-19T19:29:50.000
190,44.0,14.0,1.93,2021-03-19T19:34:52.000
191,44.0,14.1,1.81,2021-03-19T19:39:52.000
192,44.0,14.0,1.22,2021-03-19T19:44:53.000
193,44.5,13.9,0.65,2021-03-19T19:49:53.000
194,44.5,13.8,0.08,2021-03-19T19:54:53.000
195,45.0,13.7,0.08,2021-03-19T19:59:54.000
196,45.0,13.7,0.14,2021-03-19T20:04:54.000
