entity_id,entity_type,fiware_servicepath,irms1,pap1,time_index,vrms1
wibee-14004-01,Energy,/rabanales,1.75,396.36,1573078737000,226.69
wibee-14004-01,Energy,/rabanales,1.22,279.08,1573091941000,229.05
wibee-14004-01,Energy,/rabanales,1.22,279.47,1573093742000,228.44
wibee-14004-01,Energy,/rabanales,1.25,287.08,1573094942000,229.47
wibee-14004-01,Energy,/rabanales,1.25,283.82,1573095242000,227.96
wibee-14004-01,Energy,/rabanales,1.2,273.58,1573097343000,228.51
wibee-14004-01,Energy,/rabanales,1.24,284.23,1573098543000,228.79
wibee-14004-01,Energy,/rabanales,1.2,274.74,1573100044000,229.23
wibee-14004-01,Energy,/rabanales,1.24,284.04,1573100644000,228.29
wibee-14004-01,Energy,/rabanales,1.25,285.31,1573103345000,227.62
wibee-14004-01,Energy,/rabanales,1.88,425.16,1573116549000,225.63
wibee-14004-01,Energy,/rabanales,1.26,284.32,1573117749000,226.03
wibee-14004-01,Energy,/rabanales,1.26,283.65,1573118349000,225.51
wibee-14004-01,Energy,/rabanales,1.25,283.08,1573118649000,225.57
wibee-14004-01,Energy,/rabanales,1.27,287.3,1573116849000,225.65
wibee-14004-01,Energy,/rabanales,1.2,271.14,1573114448000,225.42
wibee-14004-01,Energy,/rabanales,1.25,282.09,1573114748000,224.92
wibee-14004-01,Energy,/rabanales,1.9,428.02,1573116249000,225.5
wibee-14004-01,Energy,/rabanales,1.24,277.18,1573115048000,224.2
wibee-14004-01,Energy,/rabanales,1.24,280.09,1573119850000,226.15
wibee-14004-01,Energy,/rabanales,1.25,282.57,1573120150000,225.59
wibee-14004-01,Energy,/rabanales,1.23,278.21,1573121050000,226.22
wibee-14004-01,Energy,/rabanales,1.19,269.98,1573121650000,226.08
wibee-14004-01,Energy,/rabanales,1.18,267.38,1573123751000,226.41
wibee-14004-01,Energy,/rabanales,1.23,277.42,1573120750000,226.0
wibee-14004-01,Energy,/rabanales,1.19,269.31,1573121350000,226.2
wibee-14004-01,Energy,/rabanales,1.18,266.5,1573121950000,226.69
wibee-14004-01,Energy,/rabanales,1.22,277.0,1573124051000,226.57
wibee-14004-01,Energy,/rabanales,1.22,280.07,1573139744000,228.63
wibee-14004-01,Energy,/rabanales,1.19,269.66,1573142445000,227.26
wibee-14004-01,Energy,/rabanales,1.21,275.21,1573143345000,226.99
wibee-14004-01,Energy,/rabanales,1.23,279.85,1573144546000,226.92
wibee-14004-01,Energy,/rabanales,1.2,268.25,1573147547000,222.66
wibee-14004-01,Energy,/rabanales,1.24,281.46,1573148747000,227.28
wibee-14004-01,Energy,/rabanales,1.23,281.27,1573136144000,227.8
wibee-14004-01,Energy,/rabanales,0.93,213.16,1573137943000,229.7
wibee-14004-01,Energy,/rabanales,1.23,277.9,1573144846000,226.58
wibee-14004-01,Energy,/rabanales,2.47,561.68,1573161951000,227.06
wibee-14004-01,Energy,/rabanales,2.2,503.71,1573164652000,229.24
wibee-14004-01,Energy,/rabanales,1.8,408.64,1573166753000,227.52
wibee-14004-01,Energy,/rabanales,1.65,374.38,1573169153000,226.65
wibee-14004-01,Energy,/rabanales,2.18,501.7,1573165252000,229.93
wibee-14004-01,Energy,/rabanales,2.34,531.05,1573166153000,227.4
wibee-14004-01,Energy,/rabanales,1.63,374.4,1573168853000,229.75
wibee-14004-01,Energy,/rabanales,1.81,410.23,1573172154000,227.0
wibee-14004-01,Energy,/rabanales,1.19,271.4,1573173055000,227.44
wibee-14004-01,Energy,/rabanales,1.24,281.01,1573180557000,227.05
wibee-14004-01,Energy,/rabanales,1.19,269.62,1573181157000,227.51
wibee-14004-01,Energy,/rabanales,1.25,285.15,1573182358000,227.98
wibee-14004-01,Energy,/rabanales,1.21,276.45,1573184158000,227.85
wibee-14004-01,Energy,/rabanales,1.19,271.85,1573184758000,228.04
wibee-14004-01,Energy,/rabanales,1.21,275.68,1573188359000,227.49
wibee-14004-01,Energy,/rabanales,1.19,269.93,1573188960000,226.57
wibee-14004-01,Energy,/rabanales,1.22,278.79,1573183558000,227.8
wibee-14004-01,Energy,/rabanales,1.2,273.5,1573189560000,227.92
