numero;dispositivo;tipo;coor_x;coor_y
1;nodettn-001;Ambient;-4.724724591;37.914906489
2;wibee-14004-01;Energy;-4.787190557;37.875774375
3;hidro-00000;Hidro;-4.723496139;37.915242941
4;rabanales:parking:0001;Parking;-4.724684358;37.914845123
5;rabanales:sky:0001;Sky;-4.719067812;37.915014408
6;tube-00000;Tube;-4.715269804;37.915044032
7;mkr1300-14004-01;Waste;-4.721645415;37.91568731
8;bin-00001;WasteContainer;-4.714650214;37.916184578
9;bin-00002;WasteContainer;-4.714650214;37.916184578
10;atd-zhumi-001;Zhumi;-4.714400768;37.924049414
11;zhumi-std01;Zhumi;-4.72172833;37.91633754
12;zhumi-std02;Zhumi;-4.53625332;42.00892975
13;zhumi-std21;Zhumi;-4.72174622;37.91629011
14;zhumi-std20;Zhumi;-5.74837329;37.59009912
15;zhumi-std22;Zhumi;-4.72170312;37.91633888
16;zhumi-std23;Zhumi;-8.55021706;42.87244839
17;zhumi-std24;Zhumi;-0.8553831;41.38532591
18;zhumi-std25;Zhumi;-4.72170376;37.91639964
19;zhumi-std26;Zhumi;-4.72174829;37.91635632
20;zhumi-std27;Zhumi;-3.63083783;40.42442923
21;zhumi-std28;Zhumi;-2.67042526;39.56350061
22;zhumi-std29;Zhumi;-2.02472862;41.56149159
23;zhumi-std30;Zhumi;-1.64451324;42.6051782
24;atd-ztemp-001;Ztemp;-4.714400768;37.924049414
25;atd-ztemp-002;Ztemp;-4.719969034;37.921476561
26;atd-ztemp-003;Ztemp;-5.107145;37.801435
27;ztemp-std03;Ztemp;-1.33040957;38.47361172
28;ztemp-std04;Ztemp;-1.66627801;42.82809384
29;ztemp-std05;Ztemp;-4.72171352;37.91641224
30;ztemp-std06;Ztemp;-4.72170376;37.91639964
31;ztemp-std07;Ztemp;-4.72172162;37.91635994
32;ztemp-std08;Ztemp;-5.54430694;42.61484977
33;ztemp-std09;Ztemp;-1.24030267;38.02492629
34;ztemp-std10;Ztemp;-5.98130939;37.38472401
35;ztemp-std11;Ztemp;-3.82837252;43.46878754
36;ztemp-std12;Ztemp;-4.72173532;37.91630953
37;ztemp-std13;Ztemp;-5.2841087;37.6915864
38;ztemp-std14;Ztemp;-5.64432161;43.53954362
39;ztemp-std15;Ztemp;-4.02576502;38.85966023
40;ztemp-std16;Ztemp;-4.80737619;37.88681635
41;ztemp-std17;Ztemp;-4.72173475;37.91629072
42;ztemp-std18;Ztemp;-4.72173045;37.9163054
43;ztemp-std19;Ztemp;-3.69667496;40.44523931
