Fecha;Latitud;Longitud;Altura;Distancia;Velocidad;Satelites;Medida;Valido
26/02/14 20:55:30;37,357425;-6,047992;31,9;3,61;12,3;9;2;1
26/02/14 20:55:31;37,357428;-6,048027;34,9;3,12;12,1;9;5;1
26/02/14 20:55:32;37,357427;-6,048062;37,4;3,1;12,7;9;10;1
26/02/14 20:55:33;37,357402;-6,048092;39,5;3,84;12,7;9;3;1
26/02/14 20:55:34;37,357373;-6,048118;41,5;3,94;12,4;9;4;1
26/02/14 20:55:35;37,357343;-6,048142;43,4;3,93;12,4;8;13;1
26/02/14 20:55:36;37,35731;-6,048163;45,4;4,18;12,6;9;2;1
26/02/14 20:55:37;37,357277;-6,048185;47,3;4,18;13;9;0;1
26/02/14 20:55:38;37,357245;-6,048208;48,7;4,08;13;9;0;1
26/02/14 20:55:39;37,357213;-6,048232;50,2;4,09;13;9;0;1
26/02/14 20:55:40;37,357188;-6,048242;51,5;2,92;12,5;9;0;1
26/02/14 20:55:41;37,35716;-6,048247;51,5;3,19;12,5;9;0;1
26/02/14 20:55:42;37,35713;-6,048248;52,7;3,34;12,9;9;3;1
26/02/14 20:55:43;37,357098;-6,048237;53,7;3,67;12,9;9;12;1
26/02/14 20:55:44;37,35707;-6,048215;53,4;3,69;12,7;9;24;1
26/02/14 20:55:45;37,357045;-6,048187;53;3,74;12,8;9;2;1
26/02/14 20:55:46;37,357023;-6,048155;52,7;3,7;12,8;9;0;1
26/02/14 20:55:47;37,357;-6,048123;52,3;3,82;13,5;8;0;1
26/02/14 20:55:48;37,356975;-6,04809;52;4,06;13,5;8;0;1
26/02/14 20:55:49;37,356947;-6,048057;51,6;4,32;14,7;8;10;1
26/02/14 20:55:50;37,356918;-6,048023;51,2;4,32;15,4;8;13;1
26/02/14 20:55:51;37,356887;-6,04799;50,9;4,6;15,9;8;1;1
26/02/14 20:55:52;37,356857;-6,047955;50,6;4,56;16;8;9;1
26/02/14 20:55:53;37,356825;-6,04792;50,3;4,69;16;8;0;1
26/02/14 20:55:54;37,356797;-6,047887;49,8;4,32;15,5;8;0;1
26/02/14 20:55:55;37,356767;-6,047853;49,5;4,46;15,7;8;20;1
26/02/14 20:55:56;37,356737;-6,04782;49,1;4,46;15,4;8;1;1
26/02/14 20:55:57;37,356707;-6,047787;49,3;4,46;15,3;8;0;1
26/02/14 20:55:58;37,356678;-6,047755;49,3;4,22;15,3;8;2;1
26/02/14 20:55:59;37,356648;-6,047727;49,5;4,17;14,4;8;0;1
26/02/14 20:56:00;37,356622;-6,047697;49,2;3,98;14,2;8;1;1
26/02/14 20:56:01;37,356597;-6,047668;49;3,74;13,4;8;32;1
26/02/14 20:56:03;37,356548;-6,047618;48,9;6,96;12,3;8;1;1
26/02/14 20:56:04;37,356533;-6,047598;48,4;2,43;10,2;8;2;1
26/02/14 20:56:05;37,356518;-6,047577;49,5;2,54;8,7;8;7;1
26/02/14 20:56:06;37,356508;-6,047553;48,7;2,35;8,5;8;8;1
26/02/14 20:56:07;37,3565;-6,047525;48,1;2,67;8,7;8;3;1
26/02/14 20:56:08;37,356488;-6,0475;47,2;2,56;8,7;8;2;1
26/02/14 20:56:09;37,356475;-6,047478;46,6;2,42;8,9;9;7;1
26/02/14 20:56:10;37,356457;-6,047455;45,6;2,9;11,1;8;3;1
26/02/14 20:56:11;37,356433;-6,047433;44,5;3,23;12,6;7;0;1
26/02/14 20:56:12;37,356405;-6,04741;43,7;3,77;13,8;7;0;1
26/02/14 20:56:13;37,356377;-6,047385;42,9;3,85;13,8;7;0;1
26/02/14 20:56:14;37,356345;-6,04736;42,9;4,16;14,4;8;3;1
26/02/14 20:56:16;37,356283;-6,047308;42,6;8,25;15;8;0;1
26/02/14 20:56:17;37,35625;-6,04728;42,3;4,48;15,6;7;0;1
26/02/14 20:56:18;37,356218;-6,04725;42,1;4,41;15,6;7;0;1
26/02/14 20:56:19;37,356187;-6,04722;42;4,41;15,9;7;1;1
26/02/14 20:56:20;37,356157;-6,047187;41,7;4,46;15,4;7;3;1
26/02/14 20:56:21;37,356128;-6,047155;41,4;4,22;15,2;7;8;1
26/02/14 20:56:22;37,356098;-6,047123;41,2;4,36;15,2;8;1;1
26/02/14 20:56:23;37,356068;-6,047093;41;4,26;15,2;8;1;1
26/02/14 20:56:24;37,356038;-6,047063;40,6;4,26;15,6;7;2;1
26/02/14 20:56:25;37,356007;-6,047033;40,3;4,41;15,8;7;4;1
26/02/14 20:56:26;37,355975;-6,047003;39,4;4,41;15,8;7;0;1
26/02/14 20:56:27;37,355945;-6,046973;38,9;4,26;15,3;7;2;1
26/02/14 20:56:28;37,355913;-6,046945;39,3;4,32;15,3;7;7;1
26/02/14 20:56:29;37,355882;-6,046917;39,6;4,32;15,1;8;0;1
26/02/14 20:56:30;37,355852;-6,046887;39,7;4,26;15,4;8;1;1
26/02/14 20:56:31;37,355823;-6,046855;38,8;4,22;15,6;8;2;1
26/02/14 20:56:32;37,355793;-6,046823;38;4,36;15,7;8;7;1
26/02/14 20:56:34;37,355737;-6,04676;36,5;8,44;15,3;8;1;1
26/02/14 20:56:35;37,355705;-6,046728;36,7;4,5;15,1;8;3;1
26/02/14 20:56:36;37,355673;-6,0467;37;4,32;15,1;8;8;1
26/02/14 20:56:37;37,355642;-6,046673;36,3;4,24;15,1;8;0;1
26/02/14 20:56:38;37,355612;-6,046648;35,6;4;15,1;8;1;1
26/02/14 20:56:39;37,35558;-6,046625;34,7;4,08;15;8;3;1
26/02/14 20:56:40;37,355548;-6,0466;34;4,16;15,2;8;14;1
26/02/14 20:56:41;37,355517;-6,046573;33,3;4,24;14,9;8;1;1
26/02/14 20:56:42;37,355487;-6,046547;33,1;4,09;14,7;8;1;1
26/02/14 20:56:43;37,355457;-6,04652;33,1;4,09;14,7;7;1;1
26/02/14 20:56:44;37,355427;-6,046492;32,9;4,18;15;7;1;1
26/02/14 20:56:45;37,355397;-6,046462;32,8;4,27;15,2;7;2;1
26/02/14 20:56:46;37,355365;-6,046433;32,7;4,33;15,4;7;14;1
26/02/14 20:56:47;37,355335;-6,046405;32,5;4,17;15,3;7;1;1
26/02/14 20:56:48;37,355305;-6,046375;32,2;4,27;15,3;7;2;1
26/02/14 20:56:49;37,355277;-6,046345;31,4;4,12;15;7;4;1
26/02/14 20:56:50;37,35525;-6,046315;30,4;3,98;14,9;7;0;1
26/02/14 20:56:51;37,355223;-6,046283;29,5;4,08;15;7;0;1
26/02/14 20:56:52;37,355195;-6,046255;28,8;4,03;15;7;0;1
26/02/14 20:56:53;37,355165;-6,046225;27,9;4,26;15;8;3;1
26/02/14 20:56:54;37,355135;-6,046197;27,3;4,17;15,5;8;0;1
26/02/14 20:56:55;37,355103;-6,046168;26,8;4,33;15,8;8;0;1
26/02/14 20:56:56;37,355073;-6,04614;26,8;4,17;14,4;8;3;1
26/02/14 20:56:57;37,355048;-6,046113;25,9;3,65;13,3;8;1;1
26/02/14 20:56:59;37,355;-6,046058;25;7,25;12;8;1;1
26/02/14 20:57:00;37,354985;-6,046027;24,7;3,26;11,3;8;0;1
26/02/14 20:57:01;37,35498;-6,045992;23,9;3,15;12,4;8;0;1
26/02/14 20:57:02;37,354987;-6,045955;23,8;3,33;13;8;1;1
26/02/14 20:57:03;37,355002;-6,045918;24;3,65;13;8;0;1
26/02/14 20:57:04;37,355022;-6,045883;24,8;3,81;14,6;8;1;1
26/02/14 20:57:05;37,355043;-6,045845;25,5;4,16;15,3;8;2;1
26/02/14 20:57:06;37,355063;-6,045807;26,2;4,06;15,5;7;1;1
26/02/14 20:57:07;37,355085;-6,045767;26,9;4,28;15,7;7;2;1
26/02/14 20:57:08;37,355107;-6,045728;27,6;4,16;15,7;7;3;1
26/02/14 20:57:09;37,355127;-6,04569;28,2;4,06;14,5;8;1;1
26/02/14 20:57:10;37,355145;-6,045657;28,8;3,59;11,7;8;1;1
26/02/14 20:57:11;37,355162;-6,04563;27,9;3;11,7;8;2;1
26/02/14 20:57:12;37,355175;-6,045608;27,6;2,43;9,2;8;4;1
26/02/14 20:57:13;37,355187;-6,04559;27,3;2,07;9,2;9;8;1
26/02/14 20:57:14;37,355198;-6,045572;27,1;2,07;6,9;8;7;1
