Fecha;Latitud;Longitud;Altura;Distancia;Velocidad;Satelites;Medida;Valido
27/02/14 20:02:25;37,346647;-6,047565;67,8;1,05;3,8;8;28;1
27/02/14 20:02:26;37,346642;-6,047582;67,6;1,58;5,1;8;36;1
27/02/14 20:02:27;37,346628;-6,047603;67,3;2,43;7,4;8;42;1
27/02/14 20:02:28;37,346607;-6,047622;66,9;2,91;10,5;8;34;1
27/02/14 20:02:29;37,34658;-6,047633;66,7;3,14;10,5;8;16;1
27/02/14 20:02:30;37,346552;-6,047643;66,3;3,28;11,5;8;11;1
27/02/14 20:02:31;37,346522;-6,04765;66;3,39;11,6;8;9;1
27/02/14 20:02:32;37,346492;-6,047658;65,8;3,42;12,5;8;12;1
27/02/14 20:02:33;37,346458;-6,047668;65,6;3,81;13,4;8;19;1
27/02/14 20:02:34;37,346423;-6,047682;65,5;4,07;13,4;8;28;1
27/02/14 20:02:35;37,346387;-6,047697;65,7;4,29;14,8;8;29;1
27/02/14 20:02:36;37,346348;-6,047712;66;4,47;15;8;19;1
27/02/14 20:02:37;37,346313;-6,047725;66;4,07;14,8;8;8;1
27/02/14 20:02:38;37,346277;-6,047738;66,3;4,25;14,9;8;2;1
27/02/14 20:02:39;37,346238;-6,047752;66,7;4,43;14,9;8;1;1
27/02/14 20:02:40;37,346202;-6,047763;67,1;4,21;14,4;8;1;1
27/02/14 20:02:41;37,346165;-6,047775;67,4;4,21;14,4;8;2;1
27/02/14 20:02:42;37,346128;-6,047783;67,9;4,15;14,3;8;2;1
27/02/14 20:02:43;37,34609;-6,04779;68,3;4,31;15;8;3;1
27/02/14 20:02:44;37,346055;-6,047797;68,3;3,94;15;8;5;1
27/02/14 20:02:45;37,346017;-6,047802;68,5;4,29;15;8;12;1
27/02/14 20:02:46;37,345978;-6,047803;68,9;4,27;14,8;8;19;1
27/02/14 20:02:47;37,34594;-6,0478;69,8;4,28;14,6;8;28;1
27/02/14 20:02:48;37,345902;-6,047798;70,6;4,27;14,7;8;34;1
27/02/14 20:02:49;37,345862;-6,047797;71,6;4,46;14,7;8;20;1
27/02/14 20:02:50;37,345822;-6,047793;72,8;4,46;14,6;8;12;1
27/02/14 20:02:51;37,34578;-6,047792;74,3;4,64;14,6;8;10;1
27/02/14 20:02:52;37,345743;-6,047788;75;4,09;14,6;8;14;1
27/02/14 20:02:53;37,345703;-6,047783;76,2;4,48;14,5;8;21;1
27/02/14 20:02:54;37,345668;-6,04778;76,3;3,91;14,5;8;36;1
27/02/14 20:02:55;37,345633;-6,047778;76;3,9;14,4;8;42;1
27/02/14 20:02:56;37,345598;-6,047777;75,7;3,9;14,4;8;29;1
27/02/14 20:02:57;37,345568;-6,047773;74,8;3,35;13,3;8;14;1
27/02/14 20:02:58;37,345538;-6,047768;74,1;3,37;12,8;8;8;1
